Objeto	Coluna	PK	FK	FKReferenceSource	FKReferenceFake
[dbo].[ATIVIDADE_HISTORICO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ATIVIDADE_OBRA]	CD_TIPO_OBRA	True	False	NULL	000000
[dbo].[ATIVIDADE_TIPO_RECURSO]	CD_ATIVIDADE_TIPO_RECURSO	True	False	NULL	000000
[dbo].[ATIVIDADE_TIPO_RECURSO]	CD_TIPO_RECURSO	False	False	NULL	000000
[dbo].[ATIVIDADE_TIPO_RECURSO]	CD_USUARIO_MANIPULADOR	False	False	NULL	000000
[dbo].[ATIVO_COMPONENTE]	CD_ATIVO_COMPONENTE	True	False	NULL	000000
[dbo].[ATIVO_COMPONENTE]	CD_COMPONENTE	False	False	NULL	000000
[dbo].[BASE]	CD_BASE	True	False	NULL	000000
[dbo].[BASE]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[BASE]	CD_MES	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_ANIMAL	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_CONGESTIONAMENTO	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_DADOS	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_INCENDIO	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_OBJETO	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_PRODUTOS_PERIGOSOS	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_RECURSO	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_VEICULO	False	False	NULL	000000
[dbo].[BASE]	CD_OCORRENCIA_VITIMA	False	False	NULL	000000
[dbo].[BASE]	CD_RODOVIA	False	False	NULL	000000
[dbo].[BASE]	CD_SENTIDO	False	False	NULL	000000
[dbo].[BASE_OPERACIONAL]	CD_BASE_OPERACIONAL	True	False	NULL	000000
[dbo].[BASE_OPERACIONAL]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[BASE_OPERACIONAL]	CD_REDE	False	False	NULL	000000
[dbo].[BASE_OPERACIONAL]	CD_RODOVIA	False	False	NULL	000000
[dbo].[BASE_OPERACIONAL]	CD_SENTIDO	False	False	NULL	000000
[dbo].[BASE_RELATORIO_INSPECAO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[BATALHAO_POLICIA]	CD_BATALHAO	True	False	NULL	000000
[dbo].[BOLETIM_CLIMA]	CD_CLIMA	True	False	NULL	000000
[dbo].[BOLETIM_CLIMA]	CD_USUARIO_ALTERACAO	False	False	NULL	000000
[dbo].[BOLETIM_CLIMA]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[dbo].[BOLETIM_CONFIGURACAO_ALERTA]	CD_BOLETIM_CONFIGURACAO_ALERTA	True	False	NULL	000000
[dbo].[BOLETIM_CONFIGURACAO_ALERTA]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[BOLETIM_CONFIGURACAO_ALERTA]	CD_USUARIO_ALTERACAO	False	False	NULL	000000
[dbo].[BOLETIM_CONFIGURACAO_ALERTA]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[dbo].[BOLETIM_DESTINATARIO]	CD_BOLETIM_DESTINATARIO	True	False	NULL	000000
[dbo].[BOLETIM_DESTINATARIO]	CD_USUARIO_ALTERACAO	False	False	NULL	000000
[dbo].[BOLETIM_DESTINATARIO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[dbo].[BOLETIM_TRANSITO]	CD_BOLETIM_TRANSITO	True	False	NULL	000000
